mp_id,formula,XYZ
mp-1206767,AlFe3N,ABC3
mp-1226634,CeAl3Pd,ABC3
mp-1226654,CeAl3Cu,ABC3
mp-1246403,AlWN3,ABC3
mp-1251647,AlWO3,ABC3
mp-754184,ErAlO3,ABC3
mp-754435,LuAlO3,ABC3
mp-756082,AlVO3,ABC3
mp-756214,YAlO3,ABC3
mvc-14006,AlMoO3,ABC3
mvc-3506,AlSbO3,ABC3
mvc-3826,AlBiO3,ABC3
mp-1013532,Sr3AsP,ABC3
mp-1013543,Ca3AsN,ABC3
mp-1013545,Ca3BiAs,ABC3
mp-1013561,Sr3SbAs,ABC3
mp-1013563,Ba3BiAs,ABC3
mp-1013642,Ca3AsP,ABC3
mp-1013703,Ca3BiAs,ABC3
mp-1013709,Ba3AsN,ABC3
mp-1013711,Ba3AsP,ABC3
mp-1013714,Ba3SbAs,ABC3
mp-1178368,CuAsO3,ABC3
mp-1178465,CsAsO3,ABC3
mp-1183911,CsAsO3,ABC3
mp-1184937,KAsO3,ABC3
mp-1192552,KAsO3,ABC3
mp-1194970,KAsO3,ABC3
mp-1206514,Mg3AsN,ABC3
mp-1206774,Mn3AsN,ABC3
mp-1206777,Mn3AsN,ABC3
mp-28109,SbAsO3,ABC3
mp-4192,Ca3AsN,ABC3
mp-541249,LaSiAs3,ABC3
mp-648984,LaSiAs3,ABC3
mp-753953,GdAsO3,ABC3
mp-976133,NaAsO3,ABC3
mp-976763,NiAsO3,ABC3
mp-983564,EuAsO3,ABC3
mp-1013541,Sr3SbAs,ABC3
mp-1013553,Sr3AsP,ABC3
mp-1013555,Sr3AsN,ABC3
mp-1013562,Ba3SbAs,ABC3
mp-1013564,Sr3BiAs,ABC3
mp-1013586,Ba3AsP,ABC3
mp-1013705,Sr3BiAs,ABC3
mp-1079050,LaAsO3,ABC3
mp-1096856,Ca3AsP,ABC3
mp-1184913,InAsO3,ABC3
mp-1195015,CeAsO3,ABC3
mp-17868,NaAsO3,ABC3
mp-22209,Cr3AsN,ABC3
mp-27769,V3AsC,ABC3
mp-29863,AsCl3O,ABC3
mp-30284,HgAsO3,ABC3
mp-559767,LiAsO3,ABC3
mp-755240,AsAuO3,ABC3
mp-776093,CsAsO3,ABC3
mp-9657,LiAsO3,ABC3
mp-975425,RbAsO3,ABC3
mp-1013537,Sr3AsN,ABC3
mp-1013544,Ca3SbAs,ABC3
mp-1013716,Ba3BiAs,ABC3
mp-1013734,Ba3AsN,ABC3
mp-1078398,CeAsO3,ABC3
mp-1079224,V3AsN,ABC3
mp-1111644,RbAuF3,ABC3
mp-1112173,KAuCl3,ABC3
mp-1184215,FeAsO3,ABC3
mp-1210597,Mn3AsN,ABC3
mp-13673,NaSiAu3,ABC3
mp-13674,NaGeAu3,ABC3
mp-27274,AsCF3,ABC3
mp-7223,Ca3AsN,ABC3
mp-776320,CuAsO3,ABC3
mp-973156,ScAsO3,ABC3
mp-978851,SrAsO3,ABC3
mp-1067925,SrSi3Au,ABC3
mp-1068048,BaSn3Au,ABC3
mp-1110997,RbAuCl3,ABC3
mp-1110999,RbAuBr3,ABC3
mp-1112172,KAuF3,ABC3
mp-1112174,KAuBr3,ABC3
mp-1112985,CsAuF3,ABC3
mp-1112987,CsAuBr3,ABC3
mp-1183686,CoAuO3,ABC3
mp-1186920,SbAuO3,ABC3
mp-1187924,YbAuO3,ABC3
mp-1189694,AuNCl3,ABC3
mp-1214882,AuI3N,ABC3
mp-1227958,BaGeAu3,ABC3
mp-28853,LaAuO3,ABC3
mp-567913,CsAuSe3,ABC3
mp-569548,CsAuBr3,ABC3
mp-635460,V3AuN,ABC3
mp-9200,K3AuO,ABC3
mp-971700,ZnAuO3,ABC3
mp-975405,RbAuO3,ABC3
mp-982245,PbAuO3,ABC3
mp-1078860,SrGeAu3,ABC3
mp-1183212,BAuO3,ABC3
mp-1183414,BeAuO3,ABC3
mp-1184383,EuAuO3,ABC3
mp-1184942,KAuO3,ABC3
mp-1185548,CsAuO3,ABC3
mp-1187146,SrAuO3,ABC3
mp-1207183,Mn3AuN,ABC3
mp-1214261,BiPb3Au,ABC3
mp-1218236,SrIn3Au,ABC3
mp-23026,CsAuCl3,ABC3
mp-23484,CsAuCl3,ABC3
mp-27300,RbAuBr3,ABC3
mp-28453,CsAuI3,ABC3
mp-4405,Rb3AuO,ABC3
mp-505212,Cs3AuO,ABC3
mp-567485,CaGaAu3,ABC3
mp-568666,RbAuI3,ABC3
mp-9040,Ca3AuN,ABC3
mp-10060,DyBPd3,ABC3
mp-10139,Sc3SnB,ABC3
mp-1018627,ScBPt3,ABC3
mp-1068661,ZrBRh3,ABC3
mp-1078259,GaBO3,ABC3
mp-1181705,Cu3SnAu,ABC3
mp-1183287,BaAuO3,ABC3
mp-1183397,CoBO3,ABC3
mp-1183631,CdBO3,ABC3
mp-1184546,HoBO3,ABC3
mp-1187494,TlBO3,ABC3
mp-1188683,NdBS3,ABC3
mp-1194043,ErBO3,ABC3
mp-1206856,DyB3Mo,ABC3
mp-1220523,Nb3ZnAu,ABC3
mp-14237,YbBO3,ABC3
mp-18946,VBO3,ABC3
mp-22030,EuBO3,ABC3
mp-22435,CeBPt3,ABC3
mp-28613,LiBPt3,ABC3
mp-3088,LaBRh3,ABC3
mp-31045,KAuI3,ABC3
mp-3183,DyBRh3,ABC3
mp-3869,TbBRh3,ABC3
mp-753056,HoBO3,ABC3
mp-760457,YBO3,ABC3
mp-850193,HoBO3,ABC3
mp-8697,ScBO3,ABC3
mp-972442,SnBO3,ABC3
mp-984628,CaBO3,ABC3
mp-10061,ErBPd3,ABC3
mp-10113,ScBIr3,ABC3
mp-10140,Sc3TlB,ABC3
mp-1018643,YBPd3,ABC3
mp-10552,RbBSe3,ABC3
mp-1069774,UBRh3,ABC3
mp-10791,ErBO3,ABC3
mp-11597,NdBPt3,ABC3
mp-1184042,CuBO3,ABC3
mp-1187784,UBO3,ABC3
mp-1188026,ZrBO3,ABC3
mp-1189809,CaBO3,ABC3
mp-1205558,HoB3Mo,ABC3
mp-1206415,MgNi3B,ABC3
mp-1214407,BaBO3,ABC3
mp-19097,FeBO3,ABC3
mp-19299,CrBO3,ABC3
mp-20882,CeBO3,ABC3
mp-20967,GdBPd3,ABC3
mp-29725,YBRh3,ABC3
mp-3428,SmBPd3,ABC3
mp-3591,NdBRh3,ABC3
mp-3717,LuBRh3,ABC3
mp-3846,LaBPd3,ABC3
mp-5200,PrBRh3,ABC3
mp-5426,ErB3Mo,ABC3
mp-561949,GdBO3,ABC3
mp-573358,CsBSe3,ABC3
mp-7027,InBO3,ABC3
mp-7238,NdBO3,ABC3
mp-752713,HoBO3,ABC3
mp-7560,LuBO3,ABC3
mp-760405,ErBO3,ABC3
mp-760461,LuBO3,ABC3
mp-760477,SmBO3,ABC3
mp-772724,SnBO3,ABC3
mp-8216,LaBO3,ABC3
mp-849295,FeBO3,ABC3
mp-972839,SiBO3,ABC3
mp-973738,GeBO3,ABC3
mp-984554,BPbO3,ABC3
mp-10120,NdBPd3,ABC3
mp-1084760,CaBO3,ABC3
mp-1183194,BTeO3,ABC3
mp-1183221,BIrO3,ABC3
mp-1184023,GaBO3,ABC3
mp-1184625,HfBO3,ABC3
mp-1203921,LaNi3B,ABC3
mp-1206772,ThBRh3,ABC3
mp-1246423,BMoN3,ABC3
mp-17620,TmBO3,ABC3
mp-19726,Sc3InB,ABC3
mp-20040,EuBPd3,ABC3
mp-20590,La3InB,ABC3
mp-28607,UReB3,ABC3
mp-2976,PrBPd3,ABC3
mp-29762,GdBO3,ABC3
mp-3022,TbBPd3,ABC3
mp-3105,LuBPd3,ABC3
mp-3710,HoBRh3,ABC3
mp-510376,CeBRh3,ABC3
mp-510377,EuBRh3,ABC3
mp-569875,ScBRh3,ABC3
mp-7492,LaBO3,ABC3
mp-753318,DyBO3,ABC3
mp-753806,BSbO3,ABC3
mp-754409,HoBO3,ABC3
mp-760484,TmBO3,ABC3
mp-867286,TbBS3,ABC3
mp-973877,PaBO3,ABC3
mp-975385,RbBO3,ABC3
mp-10133,Sc3BPb,ABC3
mp-10135,YbBPd3,ABC3
mp-1017631,ScBPd3,ABC3
mp-1018644,YBPt3,ABC3
mp-10792,DyBO3,ABC3
mp-11596,PrBPt3,ABC3
mp-1183242,BPdO3,ABC3
mp-1183277,BPtO3,ABC3
mp-1183422,BeBO3,ABC3
mp-1185302,LiBO3,ABC3
mp-1185693,MgBO3,ABC3
mp-1185996,MnBO3,ABC3
mp-1187416,ThBO3,ABC3
mp-1189296,CeBS3,ABC3
mp-1201689,LaNi3B,ABC3
mp-1205795,LaNi3B,ABC3
mp-1206909,CaBPd3,ABC3
mp-1222450,LuBO3,ABC3
mp-1224628,GdBO3,ABC3
mp-12315,DyBO3,ABC3
mp-1282570,FeBO3,ABC3
mp-1289597,MnBO3,ABC3
mp-19840,GdBRh3,ABC3
mp-19948,CeBPd3,ABC3
mp-20178,CeBO3,ABC3
mp-25296,MnBO3,ABC3
mp-28614,NaBPt3,ABC3
mp-28809,TlBS3,ABC3
mp-29205,YBO3,ABC3
mp-29959,TlBSe3,ABC3
mp-31250,BiBO3,ABC3
mp-4982,SmBRh3,ABC3
mp-5364,YbBO3,ABC3
mp-5438,TmBRh3,ABC3
mp-757083,CoBO3,ABC3
mp-761288,MnBO3,ABC3
mp-765572,CoBO3,ABC3
mp-780393,HoBO3,ABC3
mp-861504,PrBO3,ABC3
mp-8627,SmBO3,ABC3
mp-9047,RbBS3,ABC3
mp-9716,TiBO3,ABC3
mp-971704,ZnBO3,ABC3
mp-972822,SiBO3,ABC3
mp-975564,PuBO3,ABC3
mp-977058,NpBO3,ABC3
mp-984553,BOsO3,ABC3
mp-10057,VCoB3,ABC3
mp-10134,TmBPd3,ABC3
mp-1013533,Ba3PN,ABC3
mp-1013691,Ba3BiP,ABC3
mp-1013708,Ba3SbN,ABC3
mp-1013737,Ba3SbP,ABC3
mp-1017465,BaVO3,ABC3
mp-1017578,HfBRh3,ABC3
mp-1018633,LaBPt3,ABC3
mp-1076782,BaCoO3,ABC3
mp-1079300,BaZrSe3,ABC3
mp-1183211,BSbO3,ABC3
mp-1183291,BaErO3,ABC3
mp-1183310,BaEuO3,ABC3
mp-1189614,BaThO3,ABC3
mp-1195469,BaGeS3,ABC3
mp-1206988,NbBRh3,ABC3
mp-1215682,YbBO3,ABC3
mp-1223538,KBaN3,ABC3
mp-1225223,EuBO3,ABC3
mp-1227881,BaMgIn3,ABC3
mp-1227962,BaCd3Ga,ABC3
mp-1285501,MnBO3,ABC3
mp-13514,NdBO3,ABC3
mp-13863,BaGeO3,ABC3
mp-17833,Ba3GeO,ABC3
mp-19150,BaVO3,ABC3
mp-19271,BaCrO3,ABC3
mp-19322,BaMoO3,ABC3
mp-23818,BaLiH3,ABC3
mp-27365,BaBiSe3,ABC3
mp-3686,YbBRh3,ABC3
mp-3693,HoBPd3,ABC3
mp-3769,ErBRh3,ABC3
mp-3834,BaZrO3,ABC3
mp-4001,BaTaS3,ABC3
mp-540926,BaCrO3,ABC3
mp-545783,BaBiO3,ABC3
mp-548824,BaTbO3,ABC3
mp-558125,BaTiO3,ABC3
mp-5660,BaIrO3,ABC3
mp-5777,BaTiO3,ABC3
mp-675227,BaMnO3,ABC3
mp-675324,BaCO3,ABC3
mp-676597,BaVSe3,ABC3
mp-7143,BaPuO3,ABC3
mp-754307,BaNdO3,ABC3
mp-755829,BSbO3,ABC3
mp-762225,BaCO3,ABC3
mp-862754,PrBS3,ABC3
mp-972448,SmBS3,ABC3
mp-1016852,BaMnO3,ABC3
mp-1017591,BaRuO3,ABC3
mp-10250,BaLiF3,ABC3
mp-1069708,BaGe3Ir,ABC3
mp-1070137,BaSi3Pd,ABC3
mp-1076932,BaTiO3,ABC3
mp-1080782,BaClO3,ABC3
mp-1096852,BaNiCl3,ABC3
mp-1120765,BaNiO3,ABC3
mp-1178513,BaSnO3,ABC3
mp-1182337,BaClO3,ABC3
mp-1183284,BaLiO3,ABC3
mp-1183288,BaInO3,ABC3
mp-1183370,BaSnS3,ABC3
mp-1183393,BaTlO3,ABC3
mp-1183934,CsBaO3,ABC3
