material_id,pretty_formula,formula_anonymous
mp-865947,YbPrAg2,ABC2
mp-865951,Ac2IrAu,ABC2
mp-865952,AcTlAu2,ABC2
mp-865953,AcYbZn2,ABC2
mp-865957,AcSnAu2,ABC2
mp-865958,AcTlAg2,ABC2
mp-865979,AcMgCd2,ABC2
mp-866016,AcBiAu2,ABC2
mp-866018,Ac2ZnGe,ABC2
mp-866101,AcCrO3,ABC3
mp-866103,Ac2MgSn,ABC2
mp-866107,Ac2IrPd,ABC2
mp-866145,Lu2AgIr,ABC2
mp-866203,AcYbHg2,ABC2
mp-866225,AcMgHg2,ABC2
mp-866289,Ac2ZnSi,ABC2
mp-8666,CsAgO,ABC
mp-867112,AcInTe2,ABC2
mp-867122,Ac2CuSi,ABC2
mp-867175,SmAgAs2,ABC2
mp-867241,Ac2GePd,ABC2
mp-867298,CeTlAg2,ABC2
mp-867311,AcAgTe2,ABC2
mp-867321,AcInHg2,ABC2
mp-867338,AcCdAg2,ABC2
mp-867341,CsAcTe2,ABC2
mp-867422,AcPbAu2,ABC2
mp-867817,LaTlAg2,ABC2
mp-867869,Sm2AgRu,ABC2
mp-867910,LaAgAu2,ABC2
mp-867925,SrAcHg2,ABC2
mp-9206,CsAg5Te3,AB3C5
mp-9341,GdAgGe,ABC
mp-9631,AlAgO2,ABC2
mp-972530,Sm2AgRh,ABC2
mp-972536,Sm2TlAg,ABC2
mp-972680,Sm(AgGe)2,AB2C2
mp-973088,MgInAg2,ABC2
mp-973964,Lu2GaAg,ABC2
mp-975463,RbAcO3,ABC3
mp-976072,NaAc2Pb,ABC2
mp-976076,NaAc2Sn,ABC2
mp-976326,NaInAg2,ABC2
mp-976333,Li2AcTl,ABC2
mp-976341,Nd2ZnAg,ABC2
mp-977444,PaAgAu2,ABC2
mp-978085,Pr2TlAg,ABC2
mp-978100,Pr2InAg,ABC2
mp-978891,Sm2InAg,ABC2
mp-978929,SrAcZn2,ABC2
mp-978953,SrAcTl2,ABC2
mp-979057,Sm2ZnAg,ABC2
mp-979294,SrAgO3,ABC3
mp-979425,YHoAg2,ABC2
mp-979950,AcYbMg2,ABC2
mp-979962,AcYbCd2,ABC2
mp-979981,AcYbGa2,ABC2
mp-980005,AcYbRh2,ABC2
mp-983566,Ca2AgGe,ABC2
mp-983586,Ac2SiHg,ABC2
mp-983587,Ac2NiGe,ABC2
mp-983589,Ag2GeO3,AB2C3
mp-984551,AcTlHg2,ABC2
mp-985292,AgBO3,ABC3
mp-985450,CaAcIn2,ABC2
