mp_id,formula,anonymous_formulas,C3
mp-8216,LaBO3,ABC3,O3
mp-849295,FeBO3,ABC3,O3
mp-972839,SiBO3,ABC3,O3
mp-973738,GeBO3,ABC3,O3
mp-984554,BPbO3,ABC3,O3
mp-1084760,CaBO3,ABC3,O3
mp-1183194,BTeO3,ABC3,O3
mp-1183221,BIrO3,ABC3,O3
mp-1184023,GaBO3,ABC3,O3
mp-1184625,HfBO3,ABC3,O3
mp-17620,TmBO3,ABC3,O3
mp-29762,GdBO3,ABC3,O3
mp-7492,LaBO3,ABC3,O3
mp-753318,DyBO3,ABC3,O3
mp-753806,BSbO3,ABC3,O3
mp-754409,HoBO3,ABC3,O3
mp-760484,TmBO3,ABC3,O3
mp-973877,PaBO3,ABC3,O3
mp-975385,RbBO3,ABC3,O3
mp-10792,DyBO3,ABC3,O3
mp-1183242,BPdO3,ABC3,O3
mp-1183277,BPtO3,ABC3,O3
mp-1183422,BeBO3,ABC3,O3
mp-1185302,LiBO3,ABC3,O3
mp-1185693,MgBO3,ABC3,O3
mp-1185996,MnBO3,ABC3,O3
mp-1187416,ThBO3,ABC3,O3
mp-1222450,LuBO3,ABC3,O3
mp-1224628,GdBO3,ABC3,O3
mp-12315,DyBO3,ABC3,O3
mp-1282570,FeBO3,ABC3,O3
mp-1289597,MnBO3,ABC3,O3
mp-20178,CeBO3,ABC3,O3
mp-25296,MnBO3,ABC3,O3
mp-29205,YBO3,ABC3,O3
mp-31250,BiBO3,ABC3,O3
mp-5364,YbBO3,ABC3,O3
mp-757083,CoBO3,ABC3,O3
mp-761288,MnBO3,ABC3,O3
mp-765572,CoBO3,ABC3,O3
mp-780393,HoBO3,ABC3,O3
mp-861504,PrBO3,ABC3,O3
mp-8627,SmBO3,ABC3,O3
mp-9716,TiBO3,ABC3,O3
mp-971704,ZnBO3,ABC3,O3
mp-972822,SiBO3,ABC3,O3
mp-975564,PuBO3,ABC3,O3
mp-977058,NpBO3,ABC3,O3
mp-984553,BOsO3,ABC3,O3
mp-1017465,BaVO3,ABC3,O3
mp-1076782,BaCoO3,ABC3,O3
mp-1183211,BSbO3,ABC3,O3
mp-1183291,BaErO3,ABC3,O3
mp-1183310,BaEuO3,ABC3,O3
mp-1189614,BaThO3,ABC3,O3
mp-1215682,YbBO3,ABC3,O3
mp-1225223,EuBO3,ABC3,O3
mp-1285501,MnBO3,ABC3,O3
mp-13514,NdBO3,ABC3,O3
mp-13863,BaGeO3,ABC3,O3
mp-19150,BaVO3,ABC3,O3
mp-19271,BaCrO3,ABC3,O3
mp-19322,BaMoO3,ABC3,O3
mp-3834,BaZrO3,ABC3,O3
mp-540926,BaCrO3,ABC3,O3
