mp_id,formula,Piezoelectric_Modulus
mp-30252,Na10CaSn12,0.154955824
mp-635393,Ca2PI,0.722866386
mp-753813,Ca(ClO3)2,0.45845
mp-756500,Sr2CaI6,0.0
mp-866580,Ca2SnS4,0.209819801
mp-984055,Ca7(H6Cl)2,0.242210122
mp-1030245,Ca3ReN4,0.814589132
mp-1539136,CaCu2F8,0.1792687
mp-16433,Ca2Ga2O5,1.125637981
mp-34932,CaHN,1.232885
mp-35269,Ca4Sb2S,2.22035
mp-772813,Ca2Cu2O5,0.309278417
mp-866473,Ca4SnS6,1.141586729
mp-998615,CaTlF3,2.168500456
mvc-11129,Ca5(CrN3)2,0.968516362
mvc-16450,CaSnF4,0.0
mp-11168,Ca(PIr)2,1.813991223
mp-19842,CaFeO2,0.0
mp-30240,Ca2CoO3,0.0
mp-34011,Ca(HoS2)2,0.521225496
mp-35876,Ca(NdS2)2,0.34908
mp-36100,Ca(SmS2)2,0.36677
mp-36358,Ca(GdS2)2,0.451767836
mp-38327,Ca(TbS2)2,0.45161
mp-4163,Ca3Ti2O7,5.881253967
mp-675101,Ca5NbN5,0.695577715
mp-677072,Ca(InTe2)2,0.0372
mp-755949,Ca4I6O,0.223105013
mp-866922,Ca2SnS4,0.330798497
mp-866943,Ca2SnS4,0.01722
mp-1209286,Rb6CdO4,0.092765944
mp-1226891,Cd3PI3,0.686872596
mp-17161,K6CdO4,0.13828777
mp-17698,K6CdTe4,0.370859023
mp-18163,Cd4GeSe6,0.289390602
mp-21374,Cd(InTe2)2,0.131940538
mp-27272,Ca3PI3,2.7500000000000006e-21
mp-28508,Cd(HO)2,1.253031095
mp-3668,CdGeP2,0.1254
mp-3772,Cd(GaSe2)2,0.110636593
mp-4360,NaCdF3,0.482775626
mp-4666,CdSiP2,0.155355
mp-5213,CdSnP2,0.07753
mp-557614,Cd(PO3)2,0.11583
mp-5679,CdSO4,1.460852039
mp-568032,Cd(InSe2)2,0.17379
mp-568661,Cd(InSe2)2,0.15926
mp-971712,ZnCdS2,0.146455957
mp-1017534,ZnCdSe2,0.017815
mp-1021494,Cd5(S2Cl)2,1.155045201
mp-13949,Cd(GaTe2)2,0.096506605
mp-22304,Cd(InSe2)2,0.178736097
mp-36641,Cd(Ga3Te5)2,0.145544506
mp-36912,Pr2CdS4,0.97776
mp-38125,Sm2CdSe4,32.50433
mp-4452,Cd(GaS2)2,0.173443134
mp-504498,K2CdPb,0.11494
mp-625565,Cd(HO)2,1.037649004
mp-685935,CdGeO3,75.01858211
mp-772052,CdSeO4,1.454782163
mp-1019595,Ce5Zr3O16,1.25495
mp-1245535,CdGeN2,1.971974936
mp-17791,Cd4SiSe6,0.267876653
mp-18179,Cd4SiS6,0.348714296
mp-34376,Tb2CdS4,2.30213
mp-5151,Cd4GeS6,0.325989587
mp-625094,Cd(HO)2,0.716340724
mp-755380,Ce2Dy2O7,0.622085
mp-1019589,Ce3Zr5O16,1.142984999
mp-1025567,NbCl2O,3.728117523
mp-1189171,Zn2NCl,4.137267057
mp-23321,Sr4Cl6O,0.173800903
mp-23333,Hg3Cl4O,0.2687
mp-28369,GeH3Cl,0.219389479
mp-616185,Rb2ZnCl4,0.141736675
mp-673798,K3ClO,1.445795767
mp-760386,CsClO3,0.374578527
mp-768223,Cs2CeO3,1.07339171
mp-23032,CsCuCl3,0.00528
mp-23827,Sr7(H6Cl)2,0.178933004
mp-27854,TaCl4F,0.002710779
mp-28792,P4N3Cl11,0.24687192
mp-29362,GaCuCl4,0.04772
mp-29738,TlClO3,0.666329763
mp-30530,TlClO4,0.203556667
mp-34328,Mn(CuCl2)2,1.16023
mp-556422,NbCl3O,0.00874
mp-571242,Rb2CoCl4,0.697067719
mp-606711,Cs3LiCl4,0.337267045
mp-675022,CsPbCl3,0.336436325
mp-675801,KNbCl6,0.480953206
mp-676361,Li3ErCl6,0.27997701
mp-754202,CsClO3,0.161208522
mp-754712,NClO3,0.04284
mp-998561,CsSrCl3,0.477356472
mp-1539667,CsPbCl3,0.0
mp-23418,Hg3(SCl)2,0.35044709
mp-27277,PCl3O,0.262189574
mp-27824,PICl6,0.18808
mp-27851,Hg3(SeCl)2,0.35788
mp-28405,S(ClO)2,0.230755076
mp-28408,KTcCl3,0.505453378
mp-28546,Eu4Cl6O,0.170067888
mp-29845,CsHgCl3,0.211048784
mp-34337,H4NCl,0.19516
mp-540997,FeTeCl7,0.109442701
mp-546711,CsClO4,0.052343333
mp-550506,KClO3,0.453040668
mp-550759,RbClO4,0.033196667
mp-555726,NaClO3,0.05914
mp-567583,CsSbCl6,0.0
mp-625151,H7ClO3,0.209294655
mp-625171,H7ClO3,2.686375682
mp-626201,H5ClO6,0.03191
mp-753611,PCl3O,0.223508923
mp-998560,InSnCl3,1.855996637
mp-998569,InGeCl3,0.102771228
mp-998591,LiSnCl3,1.653692596
mp-1212662,GaClO,0.2981903
mp-22988,CsGeCl3,0.634744411
mp-23011,RbClO3,0.463167635
mp-23330,NaClO3,0.00888
mp-27699,S3(NCl)2,0.179028333
mp-27852,Hg3(TeCl)2,0.32946
mp-28189,FeSeCl7,0.417714862
mp-28477,Sr(ClO3)2,2.59217
mp-29252,Sn2ClF3,1.13136
mp-32539,W(ClO)2,5.761037446
mp-34078,H3ClO,0.417406272
mp-38103,NaClO4,0.17355
mp-546633,KClO4,0.085203333
mp-560748,SbCl3F2,0.079478527
mp-568100,ReNCl4,0.444048192
mp-618177,K2ZnCl4,0.268912105
mp-625175,H3ClO5,0.726124565
mp-761568,Rb2CoO3,1.48617
mp-998613,KGeCl3,0.365306344
mp-1094088,NbCoSn,1.607416922
mp-1226003,CoPS,0.07158
mp-4152,Ga2CoS4,0.129578653
mp-753473,LiCoO2,0.638095013
mp-753946,LiCoS2,0.0
mp-755811,Na3CoO3,1.937266667
mp-27920,Li8CoO6,0.215605636
mp-849770,CoPO4,0.652782258
mp-18762,Na4CoO3,1.241128879
mp-29187,Co(SiP)3,0.138125227
mp-625939,Co(HO)2,0.814254712
mp-754280,Li5CoO4,0.178502804
mp-774357,Na6CoO4,5.38655
mp-14795,K6CoSe4,0.376882542
mp-5967,TiCoSb,1.127926667
mp-625943,Co(HO)2,1.482195788
mp-753010,Li4CoO4,0.14776
mp-753251,Li5(CoO3)2,0.412801328
mp-756773,Li(CoO2)2,0.356018418
mp-14794,K6CoS4,0.37514906
mp-1539137,RbCr5S8,0.111223894
mp-19414,K3CrO4,5.75459
mp-26974,CrP2O7,0.353929186
mp-27042,CrPO4,1.651530546
mp-27149,CsCrF4,0.031084412
mp-31703,CrOF3,1.975077167
mp-753227,LiCrO2,1.434160224
mp-754233,Li5CrO5,1.426481526
mp-754913,Li2CrO2,1.236634449
mp-755493,CrSbO4,0.45871
mp-756967,Li2CrO4,0.71060534
mp-757971,Li7Cr2O8,1.670794101
mp-763985,Cr4OF11,0.133272348
mp-850964,Li3CrO4,2.801327672
mvc-7383,ZnCr2O7,0.59010467
